,_cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
0,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:44.979690+00:00,2.532020040179458,100,,,ID_0_chair_l1,2,1,BVIEW_tracked_3d_object,3513.2898712125816,5367.553368439213,-81.9112864595453
1,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:44.979781+00:00,3.8396898213581325,100,,,ID_3_obstable_r2,2,2,BVIEW_tracked_3d_object,4410.031307512208,162.00520903142436,-97.84208520525338
2,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:44.979852+00:00,1.6726236959537375,100,,,ID_4_line_l,2,3,BVIEW_tracked_3d_object,3253.102063825264,2340.4807533404046,-38.022580556243014
3,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:44.979924+00:00,4.2491825282957,100,,,ID_4_line_r,2,4,BVIEW_tracked_3d_object,4361.424929666224,2327.6963475208354,-28.285011341418617
4,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:44.979978+00:00,5.04385199415958,100,,,ID_5_line_r,2,5,BVIEW_tracked_3d_object,4317.285880109502,2323.816750681518,-53.3450357072189
5,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:44.980027+00:00,0.8539907677521974,100,,,ID_8_obstacle_l2,2,6,BVIEW_tracked_3d_object,3055.235841474905,234.64958490362096,-99.94632531112707
6,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:44.980074+00:00,10.159958826237327,100,,,ID_9_obstable_r2,2,7,BVIEW_tracked_3d_object,4439.651000563657,245.83998552687635,-97.08423054218865
7,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": -1, ""cam_vid_id_6970"": -1, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": 0, ""cam_vid_id_6975"": 0}                                      ",2021-09-04T10:25:45.067159+00:00,9.000859984470392,102,,,ID_0_obstacle_l1,2,8,BVIEW_tracked_3d_object,3101.2075886161438,1827.4926268690097,-18.46966570110628
8,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": -1, ""cam_vid_id_6970"": -1, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": 0, ""cam_vid_id_6975"": 0}                                      ",2021-09-04T10:25:45.067242+00:00,14.031088045145214,102,,,ID_4_chair_l2,2,9,BVIEW_tracked_3d_object,3699.208799653012,5917.798795491191,-237.87041161226304
9,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": -1, ""cam_vid_id_6970"": -1, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": 0, ""cam_vid_id_6975"": 0}                                      ",2021-09-04T10:25:45.067300+00:00,8.586499031554698,102,,,ID_8_obstable_r2,2,10,BVIEW_tracked_3d_object,4413.171074660934,277.22795463726993,-144.53724960171672
10,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.172549+00:00,2.532020040179458,110,,,ID_0_chair_l1,2,1,BVIEW_tracked_3d_object,3513.2898712125816,5367.553368439213,-81.9112864595453
11,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.172645+00:00,3.8396898213581325,110,,,ID_3_obstable_r2,2,2,BVIEW_tracked_3d_object,4410.031307512208,162.00520903142436,-97.84208520525338
12,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.172705+00:00,1.6726236959537375,110,,,ID_4_line_l,2,3,BVIEW_tracked_3d_object,3253.102063825264,2340.4807533404046,-38.022580556243014
13,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.172758+00:00,4.2491825282957,110,,,ID_4_line_r,2,4,BVIEW_tracked_3d_object,4361.424929666224,2327.6963475208354,-28.285011341418617
14,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.172807+00:00,5.04385199415958,110,,,ID_5_line_r,2,5,BVIEW_tracked_3d_object,4317.285880109502,2323.816750681518,-53.3450357072189
15,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.172854+00:00,0.8539907677521974,110,,,ID_8_obstacle_l2,2,6,BVIEW_tracked_3d_object,3055.235841474905,234.64958490362096,-99.94632531112707
16,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.172900+00:00,10.159958826237327,110,,,ID_9_obstable_r2,2,7,BVIEW_tracked_3d_object,4439.651000563657,245.83998552687635,-97.08423054218865
17,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": -1, ""cam_vid_id_6970"": -1, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": 0, ""cam_vid_id_6975"": 0}                                      ",2021-09-04T10:25:45.257890+00:00,12.824436779068357,112,,,ID_0_obstacle_l1,2,8,BVIEW_tracked_3d_object,3101.98626433485,1838.813047474738,-2.2146316723138093
18,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": -1, ""cam_vid_id_6970"": -1, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": 0, ""cam_vid_id_6975"": 0}                                      ",2021-09-04T10:25:45.257976+00:00,15.283234318576028,112,,,ID_4_chair_l2,2,9,BVIEW_tracked_3d_object,3707.340537200552,5919.247486658603,-250.1194936265393
19,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": -1, ""cam_vid_id_6970"": -1, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": 0, ""cam_vid_id_6975"": 0}                                      ",2021-09-04T10:25:45.258035+00:00,8.586499031554698,112,,,ID_8_obstable_r2,2,10,BVIEW_tracked_3d_object,4413.171074660934,277.22795463726993,-144.53724960171672
20,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.362201+00:00,2.532020040179458,120,,,ID_0_chair_l1,2,1,BVIEW_tracked_3d_object,3513.2898712125816,5367.553368439213,-81.9112864595453
21,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.362287+00:00,3.8396898213581325,120,,,ID_3_obstable_r2,2,2,BVIEW_tracked_3d_object,4410.031307512208,162.00520903142436,-97.84208520525338
22,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.362345+00:00,1.6726236959537375,120,,,ID_4_line_l,2,3,BVIEW_tracked_3d_object,3253.102063825264,2340.4807533404046,-38.022580556243014
23,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.362398+00:00,4.2491825282957,120,,,ID_4_line_r,2,4,BVIEW_tracked_3d_object,4361.424929666224,2327.6963475208354,-28.285011341418617
24,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.362447+00:00,5.04385199415958,120,,,ID_5_line_r,2,5,BVIEW_tracked_3d_object,4317.285880109502,2323.816750681518,-53.3450357072189
25,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.362494+00:00,0.8539907677521974,120,,,ID_8_obstacle_l2,2,6,BVIEW_tracked_3d_object,3055.235841474905,234.64958490362096,-99.94632531112707
26,"{""cam_vid_id_6968"": -1, ""cam_vid_id_6969"": -1, ""cam_vid_id_7010"": -1, ""cam_vid_id_6977"": 0, ""cam_vid_id_6970"": 0, ""cam_vid_id_7008"": -1, ""cam_vid_id_7009"": -1, ""cam_vid_id_6975"": -1}                                      ",2021-09-04T10:25:45.362539+00:00,10.159958826237327,120,,,ID_9_obstable_r2,2,7,BVIEW_tracked_3d_object,4439.651000563657,245.83998552687635,-97.08423054218865
