phase,subj.id,name,sex,age,test date,coded,trial,side,first_side,first_demo,first_condition,first_exp_id,second_demo,second_condition,second_exp_id,unable_experimenter,unwilling_experimenter,choice,chosen_side
warm-up,subj.01,Cojoe ,m,5,06.11.2021,CF,1,L,,,,,,,,,,,L
warm-up,subj.01,Cojoe,m,5,06.11.2021,CF,2,R,,,,,,,,,,,R
preference,subj.01,Cojoe,m,5,06.11.2021,CF,1,R,,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,1,R
pointing,subj.01,Cojoe,m,5,06.11.2021,CF,1,L,L_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,1,L
pointing,subj.01,Cojoe,m,5,06.11.2021,CF,2,L,L_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,0,R
pointing,subj.01,Cojoe,m,5,06.11.2021,CF,3,R,L_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,1,R
pointing,subj.01,Cojoe,m,5,06.11.2021,CF,4,R,L_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,0,L
pointing,subj.01,Cojoe,m,5,06.11.2021,CF,5,R,R_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,0,L
pointing,subj.01,Cojoe,m,5,06.11.2021,CF,6,R,R_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,0,L
pointing,subj.01,Cojoe,m,5,06.11.2021,CF,7,L,R_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,0,R
pointing,subj.01,Cojoe,m,5,06.11.2021,CF,8,L,R_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,0,R
warm-up,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,1,L,,,,,,,,,,,L
warm-up,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,2,R,,,,,,,,,,,R
preference,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,1,L,,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,1,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,2,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,3,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,4,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,5,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,6,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,7,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.02,Finne-Failbhe,f,2,06.11.2021,CF,8,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
warm-up,subj.03,Bärli,m,6,06.11.2021,CF,1,R,,,,,,,,,,,R
warm-up,subj.03,Bärli,m,6,06.11.2021,CF,2,L,,,,,,,,,,,L
preference,subj.03,Bärli,m,6,06.11.2021,CF,1,L,,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.03,Bärli,m,6,06.11.2021,CF,1,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.03,Bärli,m,6,06.11.2021,CF,2,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.03,Bärli,m,6,06.11.2021,CF,3,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,L
pointing,subj.03,Bärli,m,6,06.11.2021,CF,4,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.03,Bärli,m,6,06.11.2021,CF,5,L,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.03,Bärli,m,6,06.11.2021,CF,6,L,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,L
pointing,subj.03,Bärli,m,6,06.11.2021,CF,7,R,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.03,Bärli,m,6,06.11.2021,CF,8,R,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
warm-up,subj.04,Panda,f,2,07.11.2021,CF,1,L,,,,,,,,,,,L
warm-up,subj.04,Panda,f,2,07.11.2021,CF,2,R,,,,,,,,,,,L
preference,subj.04,Panda,f,2,07.11.2021,CF,1,R,,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.04,Panda,f,2,07.11.2021,CF,1,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,R
pointing,subj.04,Panda,f,2,07.11.2021,CF,2,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.04,Panda,f,2,07.11.2021,CF,3,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.04,Panda,f,2,07.11.2021,CF,4,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.04,Panda,f,2,07.11.2021,CF,5,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.04,Panda,f,2,07.11.2021,CF,6,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.04,Panda,f,2,07.11.2021,CF,7,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.04,Panda,f,2,07.11.2021,CF,8,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
warm-up,subj.05,Django2,m,6,07.11.2021,CF,1,L,,,,,,,,,,,L
warm-up,subj.05,Django2,m,6,07.11.2021,CF,2,R,,,,,,,,,,,L
preference,subj.05,Django2,m,6,07.11.2021,CF,1,L,,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.05,Django2,m,6,07.11.2021,CF,1,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.05,Django2,m,6,07.11.2021,CF,2,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.05,Django2,m,6,07.11.2021,CF,3,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.05,Django2,m,6,07.11.2021,CF,4,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,L
pointing,subj.05,Django2,m,6,07.11.2021,CF,5,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.05,Django2,m,6,07.11.2021,CF,6,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.05,Django2,m,6,07.11.2021,CF,7,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,L
pointing,subj.05,Django2,m,6,07.11.2021,CF,8,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,L
warm-up,subj.06,Adderley,m,2,28.11.2021,CF,1,R,,,,,,,,,,,L
warm-up,subj.06,Adderley,m,2,28.11.2021,CF,2,L,,,,,,,,,,,L
preference,subj.06,Adderley,m,2,28.11.2021,CF,1,R,,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.06,Adderley,m,2,28.11.2021,CF,1,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.06,Adderley,m,2,28.11.2021,CF,2,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.06,Adderley,m,2,28.11.2021,CF,3,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.06,Adderley,m,2,28.11.2021,CF,4,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
pointing,subj.06,Adderley,m,2,28.11.2021,CF,5,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.06,Adderley,m,2,28.11.2021,CF,6,L,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,L
pointing,subj.06,Adderley,m,2,28.11.2021,CF,7,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,1,R
pointing,subj.06,Adderley,m,2,28.11.2021,CF,8,R,L_first,B_CF,unwilling,CF,A_MS,unable,MS,MS,CF,0,L
warm-up,subj.07,Lilly11,f,4,07.11.2021,CF,1,R,,,,,,,,,,,R
warm-up,subj.07,Lilly11,f,4,07.11.2021,CF,2,L,,,,,,,,,,,L
preference,subj.07,Lilly11,f,4,07.11.2021,CF,1,R,,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,R
pointing,subj.07,Lilly11,f,4,07.11.2021,CF,1,L,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.07,Lilly11,f,4,07.11.2021,CF,2,L,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.07,Lilly11,f,4,07.11.2021,CF,3,R,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.07,Lilly11,f,4,07.11.2021,CF,4,R,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.07,Lilly11,f,4,07.11.2021,CF,5,L,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,L
pointing,subj.07,Lilly11,f,4,07.11.2021,CF,6,L,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,L
pointing,subj.07,Lilly11,f,4,07.11.2021,CF,7,R,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.07,Lilly11,f,4,07.11.2021,CF,8,R,L_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
warm-up,subj.08,Akito,m,8,07.11.2021,CF,1,L,,,,,,,,,,,L
warm-up,subj.08,Akito,m,8,07.11.2021,CF,2,R,,,,,,,,,,,R
preference,subj.08,Akito,m,8,07.11.2021,CF,1,L,,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,1,L
pointing,subj.08,Akito,m,8,07.11.2021,CF,1,L,L_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,1,L
pointing,subj.08,Akito,m,8,07.11.2021,CF,2,L,L_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,1,L
pointing,subj.08,Akito,m,8,07.11.2021,CF,3,R,L_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,0,L
pointing,subj.08,Akito,m,8,07.11.2021,CF,4,R,L_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,0,L
pointing,subj.08,Akito,m,8,07.11.2021,CF,5,R,R_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,0,L
pointing,subj.08,Akito,m,8,07.11.2021,CF,6,R,R_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,1,R
pointing,subj.08,Akito,m,8,07.11.2021,CF,7,L,R_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,1,L
pointing,subj.08,Akito,m,8,07.11.2021,CF,8,L,R_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,0,R
warm-up,subj.09,Balu5,m,2,28.11.2021,CF,1,L,,,,,,,,,,,L
warm-up,subj.09,Balu5,m,2,28.11.2021,CF,2,R,,,,,,,,,,,R
preference,subj.09,Balu5,m,2,28.11.2021,CF,1,L,,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.09,Balu5,m,2,28.11.2021,CF,1,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.09,Balu5,m,2,28.11.2021,CF,2,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,R
pointing,subj.09,Balu5,m,2,28.11.2021,CF,3,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,L
pointing,subj.09,Balu5,m,2,28.11.2021,CF,4,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.09,Balu5,m,2,28.11.2021,CF,5,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,1,R
pointing,subj.09,Balu5,m,2,28.11.2021,CF,6,R,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,L
pointing,subj.09,Balu5,m,2,28.11.2021,CF,7,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
pointing,subj.09,Balu5,m,2,28.11.2021,CF,8,L,R_first,A_MS,unable,MS,B_CF,unwilling,CF,MS,CF,0,R
warm-up,subj.10,Toffee3,f,7,07.11.2021,CF,1,L,,,,,,,,,,,L
warm-up,subj.10,Toffee3,f,7,07.11.2021,CF,2,R,,,,,,,,,,,R
preference,subj.10,Toffee3,f,7,07.11.2021,CF,1,R,,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,0,L
pointing,subj.10,Toffee3,f,7,07.11.2021,CF,1,R,R_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,0,L
pointing,subj.10,Toffee3,f,7,07.11.2021,CF,2,R,R_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,1,R
pointing,subj.10,Toffee3,f,7,07.11.2021,CF,3,L,R_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,1,L
pointing,subj.10,Toffee3,f,7,07.11.2021,CF,4,L,R_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,1,L
pointing,subj.10,Toffee3,f,7,07.11.2021,CF,5,L,L_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,1,L
pointing,subj.10,Toffee3,f,7,07.11.2021,CF,6,L,L_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,1,L
pointing,subj.10,Toffee3,f,7,07.11.2021,CF,7,R,L_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,0,L
pointing,subj.10,Toffee3,f,7,07.11.2021,CF,8,R,L_first,A_CF,unable,CF,B_MS,unwilling,MS,CF,MS,1,R
warm-up,subj.11,Ivy3,f,9,07.11.2021,CF,1,L,,,,,,,,,,,R
warm-up,subj.11,Ivy3,f,9,07.11.2021,CF,2,R,,,,,,,,,,,R
preference,subj.11,Ivy3,f,9,07.11.2021,CF,1,R,,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG,1,R
pointing,subj.11,Ivy3,f,9,07.11.2021,CF,1,L,L_first,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG,1,L
pointing,subj.11,Ivy3,f,9,07.11.2021,CF,2,L,L_first,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG,0,R
pointing,subj.11,Ivy3,f,9,07.11.2021,CF,3,R,L_first,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG,1,R
pointing,subj.11,Ivy3,f,9,07.11.2021,CF,4,R,L_first,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG,1,R
pointing,subj.11,Ivy3,f,9,07.11.2021,CF,5,L,L_first,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG,0,R
pointing,subj.11,Ivy3,f,9,07.11.2021,CF,6,L,L_first,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG,0,R
pointing,subj.11,Ivy3,f,9,07.11.2021,CF,7,R,L_first,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG,0,L
pointing,subj.11,Ivy3,f,9,07.11.2021,CF,8,R,L_first,B_KG,unwilling,KG,A_CF,unable,CF,CF,KG,0,L
warm-up,subj.12,Riu,f,3,10.11.2021,CF,1,R,,,,,,,,,,,R
warm-up,subj.12,Riu,f,3,10.11.2021,CF,2,L,,,,,,,,,,,L
preference,subj.12,Riu,f,3,10.11.2021,CF,1,R,,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,1,R
pointing,subj.12,Riu,f,3,10.11.2021,CF,1,L,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,0,R
pointing,subj.12,Riu,f,3,10.11.2021,CF,2,L,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,0,R
pointing,subj.12,Riu,f,3,10.11.2021,CF,3,R,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,1,R
pointing,subj.12,Riu,f,3,10.11.2021,CF,4,R,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,1,R
pointing,subj.12,Riu,f,3,10.11.2021,CF,5,L,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,0,R
pointing,subj.12,Riu,f,3,10.11.2021,CF,6,L,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,0,R
pointing,subj.12,Riu,f,3,10.11.2021,CF,7,R,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,1,R
pointing,subj.12,Riu,f,3,10.11.2021,CF,8,R,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,1,R
warm-up,subj.13,Maya3,f,7,12.11.2021,CF,1,R,,,,,,,,,,,R
warm-up,subj.13,Maya3,f,7,12.11.2021,CF,2,L,,,,,,,,,,,L
preference,subj.13,Maya3,f,7,12.11.2021,CF,1,L,,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS,0,R
pointing,subj.13,Maya3,f,7,12.11.2021,CF,1,L,L_first,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS,1,L
pointing,subj.13,Maya3,f,7,12.11.2021,CF,2,L,L_first,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS,0,R
pointing,subj.13,Maya3,f,7,12.11.2021,CF,3,R,L_first,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS,1,R
pointing,subj.13,Maya3,f,7,12.11.2021,CF,4,R,L_first,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS,1,R
pointing,subj.13,Maya3,f,7,12.11.2021,CF,5,L,L_first,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS,1,L
pointing,subj.13,Maya3,f,7,12.11.2021,CF,6,L,L_first,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS,1,L
pointing,subj.13,Maya3,f,7,12.11.2021,CF,7,R,L_first,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS,1,R
pointing,subj.13,Maya3,f,7,12.11.2021,CF,8,R,L_first,B_MS,unwilling,MS,A_CF,unable,CF,CF,MS,1,R
warm-up,subj.14,Anthony,m,8,12.11.2021,CF,1,L,,,,,,,,,,,L
warm-up,subj.14,Anthony,m,8,12.11.2021,CF,2,R,,,,,,,,,,,R
preference,subj.14,Anthony,m,8,12.11.2021,CF,1,R,,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,1,R
pointing,subj.14,Anthony,m,8,12.11.2021,CF,1,R,R_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,0,L
pointing,subj.14,Anthony,m,8,12.11.2021,CF,2,R,R_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,0,L
pointing,subj.14,Anthony,m,8,12.11.2021,CF,3,L,R_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,0,R
pointing,subj.14,Anthony,m,8,12.11.2021,CF,4,L,R_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,1,L
pointing,subj.14,Anthony,m,8,12.11.2021,CF,5,L,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,1,L
pointing,subj.14,Anthony,m,8,12.11.2021,CF,6,L,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,0,L
pointing,subj.14,Anthony,m,8,12.11.2021,CF,7,R,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,0,L
pointing,subj.14,Anthony,m,8,12.11.2021,CF,8,R,L_first,A_KG,unable,KG,B_MS,unwilling,MS,KG,MS,1,R
warm-up,subj.15,Amy15a,f,13,14.11.2021,CF,1,R,,,,,,,,,,,R
warm-up,subj.15,Amy15a,f,13,14.11.2021,CF,2,L,,,,,,,,,,,L
preference,subj.15,Amy15a,f,13,14.11.2021,CF,1,R,,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,NA,NA
pointing,subj.15,Amy15a,f,13,14.11.2021,CF,1,L,L_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,1,L
pointing,subj.15,Amy15a,f,13,14.11.2021,CF,2,L,L_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,1,L
pointing,subj.15,Amy15a,f,13,14.11.2021,CF,3,R,L_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,0,L
pointing,subj.15,Amy15a,f,13,14.11.2021,CF,4,R,L_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,1,R
pointing,subj.15,Amy15a,f,13,14.11.2021,CF,5,R,R_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,0,L
pointing,subj.15,Amy15a,f,13,14.11.2021,CF,6,R,R_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,0,L
pointing,subj.15,Amy15a,f,13,14.11.2021,CF,7,L,R_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,0,R
pointing,subj.15,Amy15a,f,13,14.11.2021,CF,8,L,R_first,B_KG,unwilling,KG,A_MS,unable,MS,MS,KG,0,R
warm-up,subj.16,Mona4,f,6,14.11.2021,CF,1,L,,,,,,,,,,,L
warm-up,subj.16,Mona4,f,6,14.11.2021,CF,2,R,,,,,,,,,,,R
preference,subj.16,Mona4,f,6,14.11.2021,CF,1,L,,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG,0,R
pointing,subj.16,Mona4,f,6,14.11.2021,CF,1,R,R_first,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG,1,R
pointing,subj.16,Mona4,f,6,14.11.2021,CF,2,R,R_first,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG,0,L
pointing,subj.16,Mona4,f,6,14.11.2021,CF,3,L,R_first,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG,1,L
pointing,subj.16,Mona4,f,6,14.11.2021,CF,4,L,R_first,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG,1,L
pointing,subj.16,Mona4,f,6,14.11.2021,CF,5,R,R_first,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG,0,L
pointing,subj.16,Mona4,f,6,14.11.2021,CF,6,R,R_first,A_CF,unable,CF,B_KG,unwilling,KG,CF,KG,1,R
